name;company;technology;job;location.city;location.country;salary.low;salary.high;salary.currency;salary
Senior Data Engineer;IIIT;N/A;data engineer;Zdalna;N/A;25000;34000;PLN;
Remote Data Engineer;TantusData;N/A;data engineer;Zdalna;N/A;28000;40000;PLN;
Data Engineer;Avanade Poland;N/A;data engineer;Zdalna;N/A;15120;25200;PLN;
Junior Data Engineer;kaes;N/A;data engineer;Malbork;POL;4000;7000;PLN;
Data Engineer;Devire;N/A;data engineer;Zdalna;N/A;31920;36960;PLN;
Data & Process Engineer (Chemical Eng.);IIIT;N/A;data engineer;Zdalna;N/A;25000;34000;PLN;
Azure Big Data Engineer with Python;Sii Polska;N/A;data engineer;Zdalna;N/A;16800;29400;PLN;
DWH/Big Data Engineer;Sii Polska;N/A;data engineer;Zdalna;N/A;21000;26250;PLN;
Data Engineer;dentsu Polska;N/A;data engineer;Warsaw;POL;13000;16000;PLN;
Remote Data Engineer;Mindbox S.A.;N/A;data engineer;Zdalna;N/A;23100;30450;PLN;
Data Engineer;Avanade Poland;N/A;data engineer;Warszawa;POL;15000;25000;PLN;
Data Engineer- Junior;AVENGA;N/A;data engineer;Zdalna;N/A;13440;16800;PLN;
Remote Data Engineer;Codahead;N/A;data engineer;Zdalna;N/A;13440;22008;PLN;
Data Engineer Junior;AVENGA;N/A;data engineer;Zdalna;N/A;13440;16800;PLN;
Senior Data Engineer;DATAPAO Kft.;N/A;data engineer;Zdalna;N/A;13827;22626;PLN;
Junior Data Engineer;DATAPAO Kft.;N/A;data engineer;Budapest;HUN;7542;9427;PLN;
Senior Data Engineer;Hearsay;N/A;data engineer;Budapest;HUN;12570;20112;PLN;
Data Engineer;IncepTech Kft.;N/A;data engineer;Budapest;HUN;11313;22626;PLN;
Data Engineer;Manuvia Expert Recruitment;N/A;data engineer;Budapest;HUN;10056;16341;PLN;
Mid Frontend Developer;Iver Polska Sp. z o.o.;N/A;frontend developer;Gdańsk;POL;13000;20000;PLN;
Junior Frontend Developer;Cape Morris;N/A;frontend developer;Warszawa;POL;5000;9000;PLN;
Junior Frontend/React Developer (Linux);Correct Context;N/A;frontend developer;Zdalna;N/A;6000;10000;PLN;
Junior Frontend Developer;Saller Group;N/A;frontend developer;Wrocław;"POL
 + 1";19000;23000;PLN;
Junior Frontend Developer;Mieszkanie.pl;N/A;frontend developer;Warszawa;POL;8000;13000;PLN;
Frontend Developer;Vidarex Kft.;N/A;frontend developer;Zdalna;N/A;11313;17598;PLN;
Frontend Developer;Oncompass Medicine Hungary Kft.;N/A;frontend developer;Zdalna;N/A;9427;18855;PLN;
Frontend Developer;Collective Consulting Kft.;N/A;frontend developer;Zdalna;N/A;12570;16341;PLN;
Junior Frontend Developer;Digital Natives;N/A;frontend developer;Budapest;HUN;4399;6913;PLN;
Junior Frontend Developer;Techzia Kft. / Full Force Gaming Group;N/A;frontend developer;Szombathely;HUN;7542;8170;PLN;
Frontend Developer;Techzia Kft. / Full Force Gaming Group;N/A;frontend developer;Szombathely;HUN;10684;11941;PLN;
Frontend Developer;Fox and Wolf HR Solutions;N/A;frontend developer;Budapest;HUN;11313;13827;PLN;
Frontend Developer;Corestad Hungary;N/A;frontend developer;Budapest;HUN;5028;10056;PLN;
Senior Frontend Developer (React);Link Group;N/A;frontend developer;Zdalna;N/A;16000;29000;PLN;
Senior Frontend Developer (esport);Plenti;N/A;frontend developer;Zdalna;N/A;;;;
Frontend Developer;Bright IT;N/A;frontend developer;Wrocław;POL;21000;23520;PLN;
Frontend Developer;Crossord Cybersecurity;N/A;frontend developer;Zdalna;N/A;15000;20000;PLN;
Senior Frontend Developer;Netguru;N/A;frontend developer;Zdalna;N/A;16000;25000;PLN;
Frontend Developer;Kancelaria Pranicza Maciej Panfil i Partnerzy;N/A;frontend developer;Warszawa;POL;10000;20000;PLN;
Remote Frontend Developer;Invarion Inc.;N/A;frontend developer;Zdalna;N/A;14000;20000;PLN;
Remote Frontend Developer;People Trust Sp. z o.o.;N/A;frontend developer;Zdalna;N/A;18480;22680;PLN;
Frontend Developer (MIN 1 YEAR WORK EXP);Digers!;N/A;frontend developer;Zdalna;N/A;5000;7500;PLN;
Junior Frontend Developer;Andea Solutions Sp. z o.o.;N/A;frontend developer;Zdalna;N/A;6000;10000;PLN;
Junior Frontend Developer (Vue);Altkom Softare & Consulting;N/A;frontend developer;Zdalna;N/A;4200;6000;PLN;
Junior Frontend Developer (Angular);Altkom Softare & Consulting;N/A;frontend developer;Zdalna;N/A;4200;6000;PLN;
Remote Frontend Developer;Tellyo Oy Sp. z o.o. Oddział  Polsce;N/A;frontend developer;Zdalna;N/A;10000;20000;PLN;
Remote Frontend Developer;Hyland;N/A;frontend developer;Zdalna;N/A;9000;18000;PLN;
Frontend Developer;Devire;N/A;frontend developer;Wrocław;"POL
 + 1";18000;21000;PLN;
Frontend Developer with React;Devire Sp. z o.o.;N/A;frontend developer;Zdalna;N/A;20160;23520;PLN;
Frontend Developer;TKH Technology Poland;N/A;frontend developer;Zdalna;N/A;11000;15000;PLN;
Frontend Mid/Senior JavaScript Developer;Genesis Global Limited;N/A;frontend developer;Zdalna;N/A;10000;16000;PLN;
Frontend Developer (React.js);gravity9;N/A;frontend developer;Zdalna;N/A;25200;33600;PLN;
Mid/Senior Frontend Developer;OpsTalent;N/A;frontend developer;Zdalna;N/A;14000;25000;PLN;
Frontend Developer (React);kiiHR;N/A;frontend developer;Zdalna;N/A;15000;20000;PLN;
Remote Frontend Developer;Accesto;N/A;frontend developer;Zdalna;N/A;9000;16000;PLN;
Frontend Developer;Devire;N/A;frontend developer;Zdalna;N/A;13440;23520;PLN;
Frontend Developer (React);Onelo S.A.;N/A;frontend developer;Zdalna;N/A;14000;21000;PLN;
Senior Frontend Developer Vue.js;Divante S.A.;N/A;frontend developer;Zdalna;N/A;18480;23520;PLN;
Remote Frontend Developer (Vue.js);Divante SA;N/A;frontend developer;Zdalna;N/A;10920;18480;PLN;
Frontend Developer (React or Angular);Spyrosoft;N/A;frontend developer;Zdalna;N/A;15960;29400;PLN;
Junior Frontend Developer (React.js);MasterBorn;N/A;frontend developer;Zdalna;N/A;6000;9000;PLN;
Frontend Developer;Screen9;N/A;frontend developer;Zdalna;N/A;10000;19000;PLN;
Frontend Developer;Softra Systemy Informatyczne;N/A;frontend developer;Poznań;POL;10500;21000;PLN;
Frontend Developer;Brandise;N/A;frontend developer;Zdalna;N/A;8000;12000;PLN;
Remote Senior Frontend Developer;SoftareMill;N/A;frontend developer;Zdalna;N/A;18375;26775;PLN;
Remote Mid Frontend Developer;SoftareMill;N/A;frontend developer;Zdalna;N/A;12075;17325;PLN;
Frontend developer (Wroclaw/remote);Linkfactory Poland;N/A;frontend developer;Wrocław;"POL
 + 4";14000;22000;PLN;
Remote Senior Frontend Developer (Vue);itCraft;N/A;frontend developer;Zdalna;N/A;15000;23000;PLN;
Frontend Developer;Devire;N/A;frontend developer;Zdalna;N/A;20160;23520;PLN;
Senior Frontend Developer;People Trust Sp. z o.o.;N/A;frontend developer;Zdalna;N/A;22000;29000;PLN;
Frontend Developer with React (Regular);Recruitee;N/A;frontend developer;Zdalna;N/A;13000;25000;PLN;
Senior JavaScript Frontend Developer;Monogo;N/A;frontend developer;Lublin;"POL
 + 2";16000;21000;PLN;
Remote Frontend Developer;DataArt Wrocla Sp. z o.o.;N/A;frontend developer;Zdalna;N/A;16000;23000;PLN;
Front-End Developer;Shiji Poland;N/A;frontend developer;Zdalna;N/A;11760;21840;PLN;
R&D Intern - Frontend Developer, Remote;Hyland;N/A;frontend developer;Zdalna;N/A;4500;4500;PLN;
Remote Mid Frontend React Developer;EonD;N/A;frontend developer;Zdalna;N/A;13000;19000;PLN;
Frontend Developer;Phorest;N/A;frontend developer;Zdalna;N/A;21565;26358;PLN;
Senior Frontend Developer;TantusData;N/A;frontend developer;Zdalna;N/A;30240;36960;PLN;
Junior Frontend Developer;Kancelaria Pranicza Maciej Panfil i Partnerzy;N/A;frontend developer;Warszawa;POL;8000;15000;PLN;
Junior Frontend Developer;Liki Mobile Solutions;N/A;frontend developer;Zdalna;N/A;6000;12000;PLN;
Regular Frontend Developer (React);Codibly;N/A;frontend developer;Zdalna;N/A;11088;17640;PLN;
Remote Senior Frontend Developer;Integra Softare;N/A;frontend developer;Zdalna;N/A;16000;26000;PLN;
Remote Frontend Developer;Integra Softare;N/A;frontend developer;Zdalna;N/A;8000;16000;PLN;
Junior FrontEnd Developer;Enerbit;N/A;frontend developer;Zdalna;N/A;6600;10200;PLN;
Frontend Developer;Apptension;N/A;frontend developer;Zdalna;N/A;11000;17000;PLN;
Senior Frontend Developer (React.js);MasterBorn;N/A;frontend developer;Zdalna;N/A;16000;23000;PLN;
Middle Frontend Developer (React.js);MasterBorn;N/A;frontend developer;Zdalna;N/A;10000;15000;PLN;
Frontend Developer;Shopad;N/A;frontend developer;Zdalna;N/A;14000;25000;PLN;
Remote Frontend Developer;DAC Softare Polska;N/A;frontend developer;Zdalna;N/A;14000;22000;PLN;
Remote Frontend Developer;Camino Science sp. zoo;N/A;frontend developer;Zdalna;N/A;6000;12000;PLN;
Junior Frontend Developer (React);Viercode;N/A;frontend developer;Zdalna;N/A;7000;12000;PLN;
Frontend Developer;Hop.City;N/A;frontend developer;Warsaw;POL;14500;22000;PLN;
Frontend Developer;Liki Mobile Solutions;N/A;frontend developer;Zdalna;N/A;15000;30000;PLN;
Remote Frontend Developer;Link Group;N/A;frontend developer;Zdalna;N/A;18000;25200;PLN;
Junior Frontend Developer;Invarion Inc.;N/A;frontend developer;Gdańsk;POL;8000;12000;PLN;
Junior Frontend Developer;ITC Group;N/A;frontend developer;Zdalna;N/A;6300;12600;PLN;
Frontend Developer z Reactem;Sii Polska;N/A;frontend developer;Zdalna;N/A;14700;19320;PLN;
Frontend Developer (React);Open Loyalty;N/A;frontend developer;Zdalna;N/A;13400;17600;PLN;
Junior Frontend Developer;Gyfted;N/A;frontend developer;Zdalna;N/A;3500;7000;PLN;
Frontend Developer;Devire;N/A;frontend developer;Zdalna;N/A;12000;18000;PLN;
Frontend Developer;Euvic;N/A;frontend developer;Gliwice;POL;13440;25200;PLN;
Frontend Developer;DoIT Softare;N/A;frontend developer;Zdalna;N/A;8000;16000;PLN;
Frontend Developer;Scramjet;N/A;frontend developer;Zdalna;N/A;8000;10000;PLN;
Frontend Developer;Profitroom S.A.;N/A;frontend developer;Zdalna;N/A;12000;20000;PLN;
Senior Frontend Developer;Kahoot!;N/A;frontend developer;Zdalna;N/A;18000;30000;PLN;
Front-end Developer;Unity Group;N/A;frontend developer;Zdalna;N/A;14280;21840;PLN;
Front-end Developer;MUGCO, LLC.;N/A;frontend developer;Zdalna;N/A;21847;28401;PLN;
Frontend Developer;Sii Polska;N/A;frontend developer;Zdalna;N/A;18900;25200;PLN;
Senior Frontend Developer - Remote;Helpling GmbH & Co. KG;N/A;frontend developer;Zdalna;N/A;21965;27955;PLN;
Frontend Developer with Angular (Senior);Recruitee;N/A;frontend developer;Zdalna;N/A;18000;25000;PLN;
Frontend Developer;Onelo S.A.;N/A;frontend developer;Kraków;"POL
 + 2";15000;18000;PLN;
Frontend Angular Developer;Clurgo Sp. z o.o.;N/A;frontend developer;Zdalna;N/A;14280;19320;PLN;
Senior Frontend Developer;Packhelp;N/A;frontend developer;Warszawa;POL;18000;23000;PLN;
Frontend (Angular) Developer;Margo;N/A;frontend developer;Wrocław;POL;18000;23000;PLN;
Angular Frontend Developer;Abisoft Softare House;N/A;frontend developer;Mysłowice;POL;4000;7000;PLN;
Frontend Developer;OVOO;N/A;frontend developer;Kraków;"POL
 + 1";4000;7000;PLN;
Frontend Developer (Angular 8+);Solit SA;N/A;frontend developer;Zdalna;N/A;12000;18000;PLN;
Frontend Developer;UpLink;N/A;frontend developer;Zdalna;N/A;7333;11333;PLN;
Frontend Developer with React;NOVOMATIC Technologies Poland;N/A;frontend developer;Zdalna;N/A;11260;22520;PLN;
Frontend Developer;Macopedia;N/A;frontend developer;Zdalna;N/A;10000;15000;PLN;
Frontend Developer;TouK;N/A;frontend developer;Warsaw;POL;10920;19152;PLN;
Frontend Developer;Deviniti;N/A;frontend developer;Zdalna;N/A;13000;17000;PLN;
Frontend Developer;BoomBit S.A.;N/A;frontend developer;Zdalna;N/A;12000;16000;PLN;
Junior Frontend Developer;OROOX;N/A;frontend developer;Kraków;POL;4500;9000;PLN;
Frontend Developer (CSS, JS) - PL&USA;From Poland With Dev;N/A;frontend developer;Zdalna;N/A;;;;
Senior Frontend Developer;Milo Solutions;N/A;frontend developer;Zdalna;N/A;14000;22500;PLN;
Mid Frontend Developer;Entire M Sp. z o.o.;N/A;frontend developer;Wrocław;POL;12000;17000;PLN;
Frontend Developer Angular;Hero.DOT sp. z o.o.;N/A;frontend developer;Zdalna;N/A;20000;25000;PLN;
Remote Frontend Developer;dentsu Polska;N/A;frontend developer;Zdalna;N/A;10400;14000;PLN;
Frontend Developer;OpenSky Data Systems Limited Sp zoo Odd  Polsce;N/A;frontend developer;Katowice;"POL
 + 1";14400;21600;PLN;
Frontend Developer;Rumble Fish Softare Development;N/A;frontend developer;Kraków;POL;12000;18000;PLN;
Remote Frontend Developer (Shopify);Link Group;N/A;frontend developer;Zdalna;N/A;16800;21000;PLN;
Frontend Developer;Devire;N/A;frontend developer;Zdalna;N/A;18480;23520;PLN;
Frontend Developer;360 Code Lab Sp. z o.o.;N/A;frontend developer;Warsaw;POL;17000;19000;PLN;
Remote Frontend Developer;Overdose;N/A;frontend developer;Zdalna;N/A;9584;14377;PLN;
Frontend (Angular) Developer;Pro Business Solutions IT;N/A;frontend developer;Katowice;POL;12000;15000;PLN;
Junior Frontend Developer;SUNZINET Polska Sp. z o.o.;N/A;frontend developer;Gdańsk;POL;5500;8500;PLN;
Frontend Developer;Code Addict;N/A;frontend developer;Poznań;POL;6500;10000;PLN;
Frontend Developer;codelabs.rocks;N/A;frontend developer;Opole;POL;5500;11000;PLN;
Senior Frontend Developer;Dunning, Kruger & Associates Sp. z o.o.;N/A;frontend developer;Wrocław;"POL
 + 2";20160;29400;PLN;
Senior Frontend Developer (Web / Mobile);vonRoll Infratec.com;N/A;frontend developer;Kraków;POL;22000;28000;PLN;
Frontend Developer;Das Company Sp. z o.o.;N/A;frontend developer;Trzebinia;POL;8000;11500;PLN;
Frontend Developer;eobuie.pl;N/A;frontend developer;Zdalna;N/A;12000;17000;PLN;
Frontend Developer;Oferteo;N/A;frontend developer;Wrocław;POL;12000;15000;PLN;
Remote Mid Angular Frontend Developer;Claned Group Oy Ab;N/A;frontend developer;Zdalna;N/A;14000;22000;PLN;
Senior Frontend Developer;Devire;N/A;frontend developer;Zdalna;N/A;25000;28000;PLN;
Frontend Developer;SquareOne;N/A;frontend developer;Zdalna;N/A;16800;26880;PLN;
Frontend Developer;Packhelp;N/A;frontend developer;Warszawa;POL;14000;18000;PLN;
Frontend Developer;ASTEK Polska;N/A;frontend developer;Zdalna;N/A;15120;17976;PLN;
Remote Frontend Developer;People Trust Sp. z o.o.;N/A;frontend developer;Zdalna;N/A;18480;23520;PLN;
Frontend Developer;WASKO S.A.;N/A;frontend developer;Gliwice;"POL
 + 2";6000;11000;PLN;
Mid Frontend Developer;RBC Bearings Polska Sp. z o.o.;N/A;frontend developer;Kraków;POL;15000;20000;PLN;
Principal Frontend Developer;Synerise;N/A;frontend developer;Zdalna;N/A;20000;30000;PLN;
Remote Senior Frontend Developer -Vue.js;Strix;N/A;frontend developer;Zdalna;N/A;15000;20000;PLN;
Remote Frontend Developer (React.js);Euvic;N/A;frontend developer;Zdalna;N/A;18480;25200;PLN;
Frontend Developer;Media4U Sp. z o.o.;N/A;frontend developer;Zdalna;N/A;8000;14000;PLN;
FRONT-END DEVELOPER;MyLead Global;N/A;frontend developer;Poznań;POL;6000;12000;PLN;
Frontend Developer;EcoVadis Polska Sp. z o. o.;N/A;frontend developer;Zdalna;N/A;20160;25200;PLN;
Remote Junior Frontend Developer;AppUnite sp. z. o.o. sp. k.;N/A;frontend developer;Zdalna;N/A;6000;10000;PLN;
Frontend Developer with Angular;NOVOMATIC Technologies Poland;N/A;frontend developer;Zdalna;N/A;11260;22520;PLN;
Junior Frontend Developer;Onelo;N/A;frontend developer;Lublin;POL;5250;9450;PLN;
Remote Frontend Developer;CloudBest;N/A;frontend developer;Zdalna;N/A;16000;18000;PLN;
Remote Frontend React Developer;CloudBest;N/A;frontend developer;Zdalna;N/A;12000;20000;PLN;
Senior Frontend Developer;CloudBest;N/A;frontend developer;Zdalna;N/A;22000;28000;PLN;
Frontend Developer;Grid Dynamics;N/A;frontend developer;Kraków;"POL
 + 2";13000;20500;PLN;
Frontend Developer;ING BANK ŚLĄSKI SPÓŁKA AKCYJNA;N/A;frontend developer;Zdalna;N/A;9000;16000;PLN;
Remote Frontend React Developer;EVMTech;N/A;frontend developer;Zdalna;N/A;14000;16000;PLN;
Frontend Developer with React;AVENGA;N/A;frontend developer;Zdalna;N/A;18480;25200;PLN;
Frontend Developer with Angular;AVENGA;N/A;frontend developer;Zdalna;N/A;18480;25200;PLN;
Senior Frontend Developer;Sky- Shop.pl;N/A;frontend developer;Zdalna;N/A;15000;17000;PLN;
